zipcode,total_population,median_age,pct_white,pct_black,pct_hispanic
raphy,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Median age (years),Estimate!!RACE!!Total population,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native
92101,41159,38.5,41159,3877,530
92102,44010,33.3,44010,4066,978
92103,34700,40.2,34700,1557,378
92104,45435,33.9,45435,3500,827
92105,73623,31.5,73623,10432,1729
92106,20155,38.8,20155,700,108
92107,31223,35.8,31223,833,575
92108,22280,31.9,22280,1849,305
92109,47111,32.1,47111,687,337
92110,30108,33.0,30108,1486,486
92111,50693,35.6,50693,2594,750
92113,58408,26.8,58408,6659,765
92114,68851,35.5,68851,14434,1323
92115,64343,28.3,64343,7650,770
92116,33408,36.2,33408,2251,821
92117,56983,37.6,56983,1483,376
92118,22548,42.2,22548,688,290
92119,24831,43.7,24831,874,240
92120,30550,39.3,30550,1550,480
92121,4729,31.8,4729,59,33
92122,48071,30.4,48071,1003,558
92123,32473,33.5,32473,2220,373
92124,32600,32.1,32600,1776,491
92126,82658,34.5,82658,3482,825
92127,49935,36.8,49935,756,1052
92128,51357,44.0,51357,1199,226
92129,54762,39.3,54762,1503,711
92130,56134,39.0,56134,650,324
92131,34727,40.0,34727,811,195
92139,36105,35.1,36105,4537,655
92154,88979,35.2,88979,5260,701
92173,31000,31.5,31000,320,55
