listing_id,name,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,reviews_per_month,availability_365
33159143,"PRIVATE ROOM, SAFE NEIGHBORHOOD IN SCRIPPS RANCH",92131,32.91736,-117.07635,Private room,1100.0,60.0,0.0,,1.0,,
17138468,NOT AVAILABLE,92037,32.84067,-117.27443,Entire home/apt,1400.0,30.0,2.0,2017-08-31,1.0,,
21898446,Townhome in Pacific Beach,92109,32.79797,-117.2425,Private room,1250.0,30.0,0.0,,1.0,,
25948680,Spacious furnished 1 BR with tons of amenaties,92120,32.77545,-117.05923,Entire home/apt,1150.0,31.0,0.0,,1.0,,
1756516,A Spacious luxury retreat,92037,32.84619,-117.27558,Private room,110.0,180.0,2.0,2018-09-23,6.0,,
33395869,Room for Rent in Mira Mesa,92126,32.93033,-117.13254,Private room,645.0,30.0,0.0,,5.0,,
14139907,Cozy Room in La Jolla for rent,92122,32.86547,-117.20862,Private room,38.0,240.0,0.0,,7.0,,
28055565,Unfurnished Master BDroom in San Diego Condominium,92108,32.77369,-117.14638,Private room,42.0,180.0,0.0,,6.0,,
19138413,"A Gem in Cortez Hill of downtown, San Diego",92101,32.72218,-117.15788,Private room,250.0,30.0,0.0,,1.0,,
30342963,"Family, Peace and Love",92130,32.95787,-117.22101,Private room,40.0,180.0,0.0,,1.0,,
13617732,Private Casita in beautiful gated commu- San Diego,92127,32.99062,-117.16605,Entire home/apt,75.0,90.0,3.0,2017-05-27,1.0,,
24353011,TEST LISTING - DO NOT BOOK,92102,32.70593,-117.14602,Entire home/apt,5000.0,1.0,0.0,,1.0,,
9157496,Crown Point Suite w/ Master Bath (Bike Included),92109,32.7872,-117.23856,Private room,75.0,60.0,27.0,2018-07-02,1.0,,
10193983,San Diego Pacific Beach Studio by La Jolla wParkng,92109,32.80755,-117.25909,Entire home/apt,65.0,60.0,12.0,2019-05-12,1.0,,
19475019,Luxurious top-floor condo in prime  location!,92104,32.74889,-117.12902,Private room,127.0,30.0,5.0,2019-02-08,1.0,,
4476609,"San Diego bedroom 1,  shared pool, rent per month",92124,32.81927,-117.08714,Private room,750.0,5.0,0.0,,1.0,,
482741,1 BR in Charming 2 BR Apt University Heights,92103,32.75793,-117.14805,Private room,38.0,90.0,17.0,2019-06-24,1.0,,
19175391,Perfect Bright Spacious Condo!,92101,32.72255,-117.16374,Entire home/apt,110.0,30.0,0.0,,56.0,,
19315576,Elegant Neat Fully Furnished Living Space,92123,32.80237,-117.11842,Private room,115.0,28.0,0.0,,1.0,,
6900465,Private room-Modern 2BR Townhouse,92103,32.73819,-117.17377,Private room,99.0,30.0,7.0,2017-06-09,2.0,,
22773314,Ocean Beach Bungalow,92107,32.74148,-117.25202,Entire home/apt,95.0,30.0,1.0,2018-02-05,7.0,,
5086710,Pacific Beach Oasis,92109,32.80922,-117.22279,Entire home/apt,90.0,31.0,17.0,2019-08-01,2.0,,
13961180,Upscale luxury townhouse centrally located,92108,32.77941,-117.15003,Private room,85.0,31.0,46.0,2019-08-08,1.0,,
22419752,Unfurnished Single Room in San Diego,92108,32.77283,-117.1458,Private room,27.0,96.0,1.0,2018-07-31,6.0,,
4726637,Near Mission Bay Monthly Guesthouse for singles,92117,32.80935,-117.2112,Entire home/apt,76.0,31.0,7.0,2019-04-24,3.0,,
1127311,30 Day Min 5-STAR Bed/Bath with Extras!,92102,32.71724,-117.1322,Private room,75.0,30.0,215.0,2018-08-15,1.0,,
2886805,Del Mar-Light and Bright TownHome,92130,32.94374,-117.23625,Private room,75.0,30.0,8.0,2018-09-30,1.0,,
21082497,2 bd 2 bath little Italy condo! Short term rental,92101,32.7265,-117.1682,Private room,75.0,30.0,2.0,2019-06-16,1.0,,
31269165,Business Commuters Paradise,91914,32.66783,-116.9426,Entire home/apt,80.0,28.0,0.0,,1.0,,
29923156,Beach front cottage for long term rental only,92109,32.78182,-117.25293,Entire home/apt,2175.0,1.0,0.0,,1.0,,
37829920,Private bed/bathroom in 1500sq.ft house.,91945,32.72104,-117.03765,Private room,36.0,60.0,0.0,,0.0,,
7096414,quiet and peaceful close to UCSD,92037,32.86113,-117.23104,Private room,70.0,30.0,19.0,2018-09-26,1.0,,
27334029,"Travel Nurse Angels: La Jolla; 3 Blks Ocn, Prvt Rm",92037,32.81256,-117.2683,Private room,70.0,30.0,0.0,,5.0,,
21304437,Home Away From Home At A Safe Suburban San Diego,92124,32.82236,-117.10005,Private room,69.0,30.0,0.0,,1.0,,
35304699,"UCSD旁边近海的安静小屋,小区安全整洁环境优美生活便利｡步行几分钟到UCSD, 购物中心公交车站｡",92037,32.87128,-117.23591,Private room,69.0,30.0,0.0,,1.0,,
7228676,"A.Parking WIFI,AC minutes to Downtown",92102,32.71087,-117.10713,Entire home/apt,67.0,30.0,225.0,2019-07-05,6.0,,
18584919,"Small Room w/ Private Vanity and Sink, Shared Bath",92128,32.94941,-117.09958,Private room,999.0,2.0,0.0,,2.0,,
14725872,Modern Private Bed/Bathroom - Convenient Location,92108,32.77874,-117.15042,Private room,63.0,31.0,6.0,2017-06-19,1.0,,
13684781,"Pacific Beach, Resort style, great location, cozy",92109,32.8022,-117.23741,Private room,65.0,30.0,5.0,2019-04-03,6.0,,
33338384,Master Bedroom in Quiet La Jolla Park Location,92037,32.85708,-117.23202,Private room,65.0,30.0,0.0,,4.0,,
36103280,Large room in South Mission Beach Home - San Diego,92109,32.79165,-117.232,Private room,65.0,30.0,0.0,,4.0,,
6372898,Studio Cottage Private Yard - 2 Blocks to Beach,92109,32.79438,-117.23411,Entire home/apt,60.0,31.0,1.0,2019-05-04,2.0,,
13547079,Unwind in a SERENE Resort (25% Monthly Discount),92130,32.94767,-117.2037,Private room,60.0,30.0,3.0,2018-08-26,4.0,,
13685222,Private bed/bath near downtown,92103,32.73831,-117.17308,Private room,60.0,30.0,39.0,2019-06-22,2.0,,
13769193,"Carmel Valley/Del Mar Near Beach, Restaurants",92130,32.94343,-117.23238,Private room,60.0,30.0,10.0,2018-12-15,1.0,,
30449811,Pacific Beach 1 Block to Bay and 4 Blocks to Ocean,92109,32.79394,-117.24794,Private room,60.0,30.0,0.0,,1.0,,
19547750,"Stylish, private, & walkable in University Heights",92116,32.76135,-117.13902,Private room,55.0,31.0,12.0,2019-06-30,3.0,,
1815604,"Walk distance to Pacific Beach, Amenities, Cozy",92109,32.8037,-117.24115,Private room,60.0,28.0,68.0,2019-06-27,6.0,,
7871918,Private room & bath in lovely condo,92124,32.82949,-117.1115,Private room,55.0,30.0,26.0,2018-12-15,1.0,,
13192557,Furnished room in South Mission Beach - San Diego,92109,32.76754,-117.25154,Private room,55.0,30.0,2.0,2019-05-31,4.0,,
23169470,Beautiful townhome available in La Jolla,92037,32.85543,-117.23648,Private room,55.0,30.0,1.0,2019-06-26,1.0,,
32547755,Private Room in a quiet La Jolla Townhouse,92037,32.85763,-117.23244,Private room,55.0,30.0,0.0,,4.0,,
17634558,FLORIDA  Room/ The USA Inn One,92103,32.75329,-117.18602,Private room,50.0,31.0,40.0,2018-09-10,2.0,,
17635204,WASH DC Room/ The USA Inn One,92103,32.75311,-117.18468,Private room,50.0,31.0,21.0,2017-10-29,2.0,,
18447066,Private room and bathroom in Bay Park,92117,32.79121,-117.20493,Private room,300.0,5.0,1.0,2017-08-15,1.0,,
20485276,Suite Amy,92127,33.0033,-117.08456,Private room,150.0,10.0,2.0,2019-02-03,5.0,,
25268820,B3: Remodled Clean Private room Close to Qualcomm,92126,32.91024,-117.15417,Private room,50.0,30.0,2.0,2018-07-14,6.0,,
25863302,⭐Comfy⭐Cozy⭐Semi Urban Tiny Living at its Finest!,92116,32.77274,-117.11967,Entire home/apt,50.0,30.0,1.0,2018-12-20,11.0,,
31408873,Monthly Rental- Private room in Carmel Valley,92130,32.94397,-117.23829,Private room,50.0,30.0,1.0,2019-03-28,2.0,,
35262593,Spacious room for rent in beautiful La Jolla!!,92122,32.86071,-117.22493,Private room,50.0,30.0,0.0,,1.0,,
36482844,The Kensington Coterie,92116,32.76272,-117.10061,Private room,50.0,30.0,0.0,,4.0,,
37638628,"N2. Close to Alliant, Qualcomm, UCSD,WIFI,AC",92131,32.90422,-117.09932,Private room,50.0,30.0,0.0,,6.0,,
22077644,Pacific Beach Sail Bay beautiful Water front condo,92109,32.79091,-117.24246,Private room,59.0,25.0,4.0,2019-06-30,1.0,,
12389313,One Bedroom/One Bathroom in UTC,92122,32.86836,-117.22299,Entire home/apt,69.0,21.0,0.0,,1.0,,
23223261,"Downtown San Diego room, near Gaslamp &Petco Park",92101,32.71151,-117.15307,Private room,48.0,30.0,0.0,,4.0,,
3138510,"7. Master bedroom private bathroom Wifi,AC",92126,32.93072,-117.14122,Private room,47.0,30.0,120.0,2018-06-08,6.0,,
10770084,Private Rm in Old Town 2 BDRM Apt-w-Private Entr.,92110,32.75072,-117.19379,Private room,47.0,30.0,0.0,,7.0,,
