listing_id,name,host_id,neighbourhood,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,data_year
33159143,"PRIVATE ROOM, SAFE NEIGHBORHOOD IN SCRIPPS RANCH",249661563,Scripps Ranch,92131,32.91736,-117.07635,Private room,1100.0,60,0.0,,,,2024
17138468,NOT AVAILABLE,79755951,La Jolla,92037,32.84067,-117.27443,Entire home/apt,1400.0,30,2.0,2017-08-31,,,2024
21898446,Townhome in Pacific Beach,159773487,Pacific Beach,92109,32.79797,-117.2425,Private room,1250.0,30,0.0,,,,2024
25948680,Spacious furnished 1 BR with tons of amenaties,185758729,College East,92120,32.77545,-117.05923,Entire home/apt,1150.0,31,0.0,,,,2024
1756516,A Spacious luxury retreat,3634860,La Jolla,92037,32.84619,-117.27558,Private room,110.0,180,2.0,2018-09-23,,,2024
33395869,Room for Rent in Mira Mesa,89146371,Mira Mesa,92126,32.93033,-117.13254,Private room,645.0,30,0.0,,,,2024
14139907,Cozy Room in La Jolla for rent,15113568,University City,92122,32.86547,-117.20862,Private room,38.0,240,0.0,,,,2024
28055565,Unfurnished Master BDroom in San Diego Condominium,11881600,Mission Valley East,92108,32.77369,-117.14638,Private room,42.0,180,0.0,,,,2024
19138413,"A Gem in Cortez Hill of downtown, San Diego",109738493,Cortez,92101,32.72218,-117.15788,Private room,250.0,30,0.0,,,,2024
30342963,"Family, Peace and Love",227836123,Carmel Valley,92130,32.95787,-117.22101,Private room,40.0,180,0.0,,,,2024
13617732,Private Casita in beautiful gated commu- San Diego,78843085,Black Mountain Ranch,92127,32.99062,-117.16605,Entire home/apt,75.0,90,3.0,2017-05-27,,,2024
24353011,TEST LISTING - DO NOT BOOK,1743084,Logan Heights,92102,32.70593,-117.14602,Entire home/apt,5000.0,1,0.0,,,,2024
9157496,Crown Point Suite w/ Master Bath (Bike Included),11028455,Pacific Beach,92109,32.7872,-117.23856,Private room,75.0,60,27.0,2018-07-02,,,2024
10193983,San Diego Pacific Beach Studio by La Jolla wParkng,52360468,Pacific Beach,92109,32.80755,-117.25909,Entire home/apt,65.0,60,12.0,2019-05-12,,,2024
19475019,Luxurious top-floor condo in prime  location!,136632243,North Park,92104,32.74889,-117.12902,Private room,127.0,30,5.0,2019-02-08,,,2024
4476609,"San Diego bedroom 1,  shared pool, rent per month",23226516,Grantville,92124,32.81927,-117.08714,Private room,750.0,5,0.0,,,,2024
482741,1 BR in Charming 2 BR Apt University Heights,1809198,University Heights,92103,32.75793,-117.14805,Private room,38.0,90,17.0,2019-06-24,,,2024
19175391,Perfect Bright Spacious Condo!,29286398,Cortez,92101,32.72255,-117.16374,Entire home/apt,110.0,30,0.0,,,,2024
19315576,Elegant Neat Fully Furnished Living Space,69562398,Serra Mesa,92123,32.80237,-117.11842,Private room,115.0,28,0.0,,,,2024
6900465,Private room-Modern 2BR Townhouse,13643691,Midtown,92103,32.73819,-117.17377,Private room,99.0,30,7.0,2017-06-09,,,2024
22773314,Ocean Beach Bungalow,6934650,Ocean Beach,92107,32.74148,-117.25202,Entire home/apt,95.0,30,1.0,2018-02-05,,,2024
5086710,Pacific Beach Oasis,26276925,Pacific Beach,92109,32.80922,-117.22279,Entire home/apt,90.0,31,17.0,2019-08-01,,,2024
16600726,San Diego Room Rental for Long term Commitment,11881600,Mission Valley East,00000,32.76906,-117.15375,Private room,30.0,90,2.0,2018-01-19,,,2024
13961180,Upscale luxury townhouse centrally located,83181699,Serra Mesa,92108,32.77941,-117.15003,Private room,85.0,31,46.0,2019-08-08,,,2024
22419752,Unfurnished Single Room in San Diego,11881600,Mission Valley East,92108,32.77283,-117.1458,Private room,27.0,96,1.0,2018-07-31,,,2024
